,text_lenght,links,lang_links,titles,sections,back_links,categories
0,6238,38,6,22,4,26,22
1,2188,39,1,18,5,0,14
2,2589,19,0,17,2,15,14
3,1490,47,4,10,3,16,4
4,1012,71,24,19,2,52,9
5,2006,21,1,24,3,10,4
6,139,4,0,14,0,6,4
7,641,19,1,12,0,5,8
8,6617,430,8,15,8,4,13
9,2881,331,0,45,7,10,9
10,598,109,8,16,0,93,7
11,398,82,0,11,0,99,10
12,745,22,2,21,2,6,18
13,1632,64,5,24,3,325,7
14,9051,280,4,25,10,265,6
15,7295,186,1,28,6,7,5
16,552,125,5,29,3,6,8
17,4860,18,0,18,4,8,7
18,132606,1181,1,32,13,1236,4
19,21065,145,17,27,10,17,16
20,699,20,5,13,1,110,14
21,7715,308,41,14,8,510,17
22,1203,24,14,9,3,3,10
23,223,5,0,19,0,6,4
24,0,0,0,42,0,0,0
25,2850,40,7,40,7,12,4
26,766,24,0,13,1,9,10
27,0,0,0,17,0,0,0
28,2176,194,3,15,1,159,18
29,3855,15,0,26,6,15,3
30,312,80,2,20,0,1,5
31,0,0,0,37,0,0,0
32,31294,379,22,28,9,4,18
33,78268,714,55,6,14,92,69
34,739,10,1,29,0,10,10
35,699,17,1,6,1,0,5
36,1329,189,0,16,7,167,10
37,321,281,6,47,4,2,9
38,1086,66,17,11,4,55,50
39,3309,63,2,13,7,14,9
40,1394,27,7,9,4,43,4
41,3289,37,1,16,8,17,13
42,376,27,0,12,1,17,6
43,1120,28,1,12,2,13,10
44,346,24,3,9,2,41,10
45,5278,89,7,12,5,44,25
46,416,9,2,11,0,13,4
47,3769,25,15,12,2,9,5
48,681,10,1,13,5,7,9
49,11958,53,4,29,7,47,8
50,4932,95,22,9,9,10,28
51,645,29,0,12,1,7,8
52,6347,256,2,26,5,118,5
53,142,24,8,22,0,4,10
54,6610,122,3,22,3,87,10
55,1234,47,0,22,2,9,7
56,0,0,0,41,0,0,0
57,0,0,0,33,0,6,0
58,2511,359,1,16,3,18,8
59,2850,306,0,13,5,258,9
60,0,0,0,6,0,1,0
61,3135,53,1,16,5,84,10
62,1171,38,1,23,3,15,8
63,0,0,0,16,0,0,0
64,1916,43,16,8,5,21,5
65,1207,113,1,31,3,7,14
66,885,108,0,26,3,11,15
67,482,15,0,16,2,6,5
68,848,83,4,25,3,23,11
69,156,21,0,20,0,3,8
70,871,37,4,25,8,1,13
71,1405,28,0,14,5,13,4
72,3731,77,1,29,6,59,13
73,149,492,33,7,3,471,12
74,3593,39,6,13,2,233,25
75,378,209,0,34,1,273,9
76,9212,157,36,6,7,556,26
77,3545,118,4,26,9,155,15
78,2318,22,0,44,2,11,6
79,132,198,29,21,0,174,9
80,451,42,0,14,0,36,21
81,6381,104,5,14,3,57,11
82,1129,32,1,22,1,79,11
